General Environment   : KPFM.Scenario01
Polygons              : 18
Scenarios             : 1
Years per Scenario    : 12
Initialise            : 1
First Year            : 1950
Last Year             : 1960
Data
Scenario,Year,APPA,APW,APDPW,APDPE,APBSW,APBSE,APEI,APE,SOPA,SOW,SONE,SOSE,SGPA,SGW,SGE,BT1,BT2,BT3
1,1953,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491
1,1954,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288
1,1955,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248
1,1956,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421
1,1957,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301
1,1958,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176
1,1959,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705
1,1960,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011
General Environment   : KPFM.Scenario01
Polygons              : 18
Scenarios             : 1
Years per Scenario    : 12
Initialise            : 1
First Year            : 1950
Last Year             : 1960
Data
Scenario,Year,APPA,APW,APDPW,APDPE,APBSW,APBSE,APEI,APE,SOPA,SOW,SONE,SOSE,SGPA,SGW,SGE,BT1,BT2,BT3
1,1949,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178
1,1950,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106
1,1951,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948
1,1952,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357
1,1953,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491
1,1954,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288
1,1955,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248
1,1956,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421
1,1957,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301
1,1958,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176
1,1959,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705
1,1960,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011
General Environment   : KPFM.Scenario01
Polygons              : 18
Scenarios             : 1
Years per Scenario    : 12
Initialise            : 1
First Year            : 1950
Last Year             : 1960
Data
Scenario,Year,APPA,APW,APDPW,APDPE,APBSW,APBSE,APEI,APE,SOPA,SOW,SONE,SOSE,SGPA,SGW,SGE,BT1,BT2,BT3
1,1949,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178,0.741723386479178
1,1950,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106,3.15967724774106
1,1951,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948,1.89874186541948
1,1952,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357,2.49463325275357
1,1953,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491,1.64515062298491
1,1954,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288,0.871851746697288
1,1955,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248,0.624542915420248
1,1956,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421,1.65657945169421
1,1957,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301,2.54577252505301
1,1958,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176,2.919586484176
1,1959,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705,11.0710912333705
1,1960,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011,4.2672461929011
